Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-2.04,-0.42
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.7275,0.627109
-9.980e-03,7.025,0.626641
-9.960e-03,7.32031,0.628984
-9.940e-03,7.59,0.635234
-9.920e-03,7.8575,0.628047
-9.900e-03,8.09156,0.635703
-9.880e-03,8.32969,0.638047
-9.860e-03,8.55937,0.639609
-9.840e-03,8.79156,0.636719
-9.820e-03,8.965,0.638906
-9.800e-03,9.14281,0.635547
-9.780e-03,9.265,0.647031
-9.760e-03,9.43531,0.642734
-9.740e-03,9.54844,0.645156
-9.720e-03,9.655,0.642891
-9.700e-03,9.74781,0.648594
-9.680e-03,9.81656,0.6475
-9.660e-03,9.86531,0.653828
-9.640e-03,9.90219,0.653594
-9.620e-03,9.9075,0.650937
-9.600e-03,9.91031,0.654844
-9.580e-03,9.87656,0.655547
-9.560e-03,9.83656,0.660937
-9.540e-03,9.75969,0.658438
-9.520e-03,9.66375,0.658047
-9.500e-03,9.56625,0.657813
-9.480e-03,9.43125,0.662578
-9.460e-03,9.30969,0.660156
-9.440e-03,9.17344,0.660234
-9.420e-03,9.01813,0.663047
-9.400e-03,8.81031,0.669687
-9.380e-03,8.61969,0.665703
-9.360e-03,8.39937,0.665703
-9.340e-03,8.15719,0.669375
-9.320e-03,7.88563,0.670078
-9.300e-03,7.65437,0.671797
-9.280e-03,7.36969,0.671328
-9.260e-03,7.08844,0.675469
-9.240e-03,6.79031,0.671875
-9.220e-03,6.51094,0.664844
-9.200e-03,6.20969,0.6725
-9.180e-03,5.91156,0.670781
-9.160e-03,5.56562,0.673906
-9.140e-03,5.27281,0.670469
-9.120e-03,4.94906,0.674141
-9.100e-03,4.66,0.668125
-9.080e-03,4.33656,0.665156
-9.060e-03,4.04156,0.669766
-9.040e-03,3.80656,0.670312
-9.020e-03,3.48906,0.665
-9.000e-03,3.20781,0.672656
-8.980e-03,2.88906,0.664687
-8.960e-03,2.62938,0.663359
-8.940e-03,2.35969,0.660391
-8.920e-03,2.08844,0.660078
-8.900e-03,1.84,0.663828
-8.880e-03,1.59375,0.656641
-8.860e-03,1.37719,0.654844
-8.840e-03,1.16906,0.654844
-8.820e-03,0.971563,0.652344
-8.800e-03,0.771562,0.620703
-8.780e-03,0.623125,0.535078
-8.760e-03,0.465313,0.411562
-8.740e-03,0.3375,0.299531
-8.720e-03,0.24,0.208047
-8.700e-03,0.163125,0.134297
-8.680e-03,0.0984375,0.0732812
-8.660e-03,0.0403125,0.025
-8.640e-03,-0.0009375,-0.000390625
-8.620e-03,-0.0165625,-0.0108594
-8.600e-03,0.008125,-0.00234375
-8.580e-03,0.038125,0.0242187
-8.560e-03,0.0690625,0.0615625
-8.540e-03,0.15125,0.123594
-8.520e-03,0.23125,0.193203
-8.500e-03,0.327187,0.280156
-8.480e-03,0.435,0.385
-8.460e-03,0.58625,0.500234
