latitude,longitude,gpsAltitude
53.648922,9.702593,2.9
53.648926,9.702581,2.9
53.648926,9.702581,2.9
53.648933,9.701667,2.9
53.648945,9.702528,2.9
53.648945,9.702528,2.9
53.648945,9.702528,2.9
53.648968,9.702464,2.9
53.648968,9.702464,3.4
53.648968,9.702464,3.4
53.648979,9.702426,3.9
53.648979,9.702426,3.9
53.648994,9.702368,4.8
53.648994,9.702368,4.8
53.648994,9.702368,4.8
53.64901,9.702308,6.5
53.64901,9.702308,6.5
53.649021,9.702264,7.5
53.649021,9.702264,7.5
53.649021,9.702264,7.5
53.649021,9.702264,7.5
53.64904,9.7022,9.1
53.64904,9.7022,9.1
53.649055,9.702159,10.5
53.649055,9.702159,10.5
53.649055,9.702159,10.5
53.649086,9.702075,13.6
53.649086,9.702075,13.6
53.649105,9.702031,14.9
53.649105,9.702031,14.9
53.649105,9.702031,14.9
53.64912,9.701986,16.3
53.649139,9.70194,16.3
53.649139,9.70194,16.3
53.649155,9.701894,19.6
53.649155,9.701894,19.6
53.649174,9.701846,21.4
53.649174,9.701846,21.4
53.649174,9.701846,21.4
53.649174,9.701846,21.4
53.649197,9.701771,24.1
53.649197,9.701771,24.1
53.649197,9.701771,24.1
53.649197,9.701771,24.1
53.649235,9.701637,28.7
53.649235,9.701637,28.7
53.64925,9.701581,30.5
53.64925,9.701581,30.5
53.64925,9.701581,30.5
53.649269,9.701494,33.1
53.649269,9.701494,33.1
53.649281,9.701434,34.7
53.649281,9.701434,34.7
53.649281,9.701434,34.7
53.649281,9.701434,34.7
53.649281,9.701434,34.7
53.649281,9.701434,34.7
53.649281,9.701434,34.7
53.649281,9.701434,34.7
53.649315,9.701212,40.0
53.649315,9.701179,40.0
53.649315,9.701179,40.0
53.649315,9.701179,40.0
53.64933,9.701048,44.2
53.64933,9.701048,44.2
53.649345,9.700987,45.7
53.649345,9.700987,45.7
53.649357,9.700925,47.2
53.649357,9.700925,47.2
53.649372,9.700862,48.7
53.649372,9.700862,48.7
53.649387,9.7008,50.3
53.649387,9.7008,50.3
53.649406,9.70074,51.6
53.649406,9.70074,51.6
53.649426,9.700679,52.7
53.649433,9.700648,53.2
53.649456,9.700587,53.2
53.649456,9.700587,54.5
53.649456,9.700587,54.5
53.649479,9.700527,55.7
53.649479,9.700527,55.7
53.649479,9.700527,55.7
53.649532,9.700412,55.7
53.649532,9.700412,55.7
53.649559,9.700356,59.0
53.649559,9.700356,59.0
53.64959,9.7003,60.0
53.64959,9.7003,60.0
53.64959,9.7003,60.0
53.64962,9.700245,61.1
53.64962,9.700245,61.1
53.64962,9.700245,61.1
53.64967,9.700165,62.7
53.649689,9.700138,63.3
53.649689,9.700138,63.3
53.649689,9.700138,63.3
53.649689,9.700138,63.3
53.649689,9.700138,63.3
53.649689,9.700138,63.3
53.649689,9.700138,63.3
53.649799,9.699938,67.4
53.649799,9.699938,67.4
53.649799,9.699938,67.4
53.64986,9.699813,67.4
53.64986,9.699813,67.4
53.64986,9.699813,67.4
53.649891,9.699707,72.0
53.649891,9.699707,72.0
53.649902,9.69963,73.4
53.649902,9.69963,73.4
53.64991,9.69955,75.0
53.64991,9.69955,75.0
53.64991,9.69955,75.0
53.649914,9.699428,77.1
53.649914,9.699428,77.1
53.649914,9.699428,77.1
53.649906,9.699303,79.0
53.649906,9.699303,79.0
53.649906,9.699303,79.0
53.649883,9.699181,81.1
53.649883,9.699181,81.1
53.649857,9.699103,82.3
53.649857,9.699103,82.3
53.649822,9.699032,83.4
53.649822,9.699032,83.4
53.649822,9.699032,83.4
53.649765,9.698931,84.8
53.649765,9.698931,84.8
53.649765,9.698931,84.8
53.649723,9.698868,85.6
53.649723,9.698868,85.6
53.649723,9.698868,85.6
53.649628,9.698765,86.8
53.649628,9.698765,86.8
53.649628,9.698765,86.8
53.649628,9.698765,86.8
53.649628,9.698765,86.8
53.649628,9.698765,86.8
53.649475,9.698736,87.9
53.649475,9.698736,87.9
53.649384,9.698766,88.2
53.649384,9.698766,88.2
53.649384,9.698766,88.2
53.649296,9.698831,87.8
53.649296,9.698831,87.8
53.649296,9.698831,87.8
53.649296,9.698831,87.8
53.649296,9.698831,87.8
53.649158,9.699058,85.7
53.649158,9.699058,85.7
53.649158,9.699058,85.7
53.649158,9.699058,85.7
53.649158,9.699058,85.7
53.649109,9.699251,83.0
53.649109,9.699251,83.0
53.649109,9.699251,83.0
53.649109,9.699251,83.0
53.649075,9.699456,79.5
53.649075,9.699456,79.5
53.649063,9.699558,77.6
53.649063,9.699558,77.6
53.649063,9.699558,77.6
53.649044,9.699765,77.6
53.649044,9.699765,77.6
53.649044,9.699765,77.6
53.649044,9.699765,77.6
53.649044,9.699765,77.6
53.649036,9.699971,68.3
53.649033,9.700077,68.3
53.649033,9.700077,68.3
53.649033,9.700077,68.3
53.649033,9.700077,68.3
53.649033,9.700077,68.3
53.649033,9.700293,62.4
53.649036,9.700348,62.4
53.649036,9.700348,62.4
53.649036,9.700348,62.4
53.649036,9.700348,62.4
53.649036,9.700348,62.4
53.649036,9.700348,62.4
53.649044,9.700678,57.9
53.649044,9.700732,57.3
53.649044,9.700732,57.3
53.649044,9.700732,57.3
53.649044,9.700732,57.3
53.649044,9.700732,57.3
53.649044,9.700732,57.3
53.649044,9.700732,57.3
53.649055,9.70106,53.4
53.649059,9.701169,53.4
53.649059,9.701169,53.4
53.649059,9.701169,53.4
53.649059,9.701169,53.4
53.649059,9.701169,53.4
53.649059,9.701169,53.4
53.649071,9.701444,50.2
53.649071,9.701499,50.2
53.649071,9.701499,50.2
53.649071,9.701499,50.2
53.649071,9.701499,50.2
53.649071,9.701499,50.2
53.649071,9.701499,50.2
53.649071,9.701499,50.2
53.649086,9.701882,49.5
53.649086,9.701882,49.5
53.64909,9.70199,49.8
53.64909,9.70199,49.8
53.649094,9.702097,49.8
53.649094,9.702097,49.8
53.649094,9.702097,49.8
53.649094,9.702097,49.8
53.649094,9.702097,49.8
53.649094,9.702097,49.8
53.649094,9.702097,49.8
53.649124,9.702607,54.9
53.649124,9.702607,54.9
53.649128,9.702656,55.8
53.649128,9.702656,55.8
53.649128,9.702656,55.8
53.649139,9.702842,59.7
53.649139,9.702842,59.7
53.649147,9.702931,61.9
53.649147,9.702931,61.9
53.649151,9.703018,64.3
53.649151,9.703018,64.3
53.649151,9.703018,64.3
53.649155,9.703102,67.0
53.649155,9.703102,67.0
53.649155,9.703102,67.0
53.649162,9.70326,72.5
53.649162,9.70326,72.5
53.649166,9.70334,75.1
