Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,6.74344,2.52211
-9.980e-03,7.03781,2.51789
-9.960e-03,7.33062,2.52203
-9.940e-03,7.60187,2.51953
-9.920e-03,7.84656,2.52422
-9.900e-03,8.12375,2.52352
-9.880e-03,8.35187,2.53039
-9.860e-03,8.58344,2.52742
-9.840e-03,8.79375,2.53023
-9.820e-03,8.97469,2.52797
-9.800e-03,9.1225,2.53016
-9.780e-03,9.28156,2.53273
-9.760e-03,9.41719,2.53867
-9.740e-03,9.5525,2.53688
-9.720e-03,9.64719,2.53906
-9.700e-03,9.74625,2.54133
-9.680e-03,9.81594,2.54242
-9.660e-03,9.88031,2.53766
-9.640e-03,9.88906,2.54391
-9.620e-03,9.90031,2.54492
-9.600e-03,9.89438,2.54555
-9.580e-03,9.86969,2.54773
-9.560e-03,9.80906,2.54953
-9.540e-03,9.74656,2.54758
-9.520e-03,9.65406,2.5507
-9.500e-03,9.55969,2.54992
-9.480e-03,9.43,2.55844
-9.460e-03,9.27219,2.55227
-9.440e-03,9.12125,2.55086
-9.420e-03,8.97813,2.56023
-9.400e-03,8.78031,2.56102
-9.380e-03,8.58875,2.55906
-9.360e-03,8.35625,2.55891
-9.340e-03,8.11656,2.55477
-9.320e-03,7.86656,2.55695
-9.300e-03,7.59938,2.55961
-9.280e-03,7.3275,2.55875
-9.260e-03,7.0525,2.55719
-9.240e-03,6.74719,2.55812
-9.220e-03,6.46312,2.55805
-9.200e-03,6.1825,2.56055
-9.180e-03,5.85313,2.55687
-9.160e-03,5.54656,2.55914
-9.140e-03,5.22281,2.55578
-9.120e-03,4.90688,2.55391
-9.100e-03,4.585,2.5568
-9.080e-03,4.27531,2.55563
-9.060e-03,4.00906,2.55219
-9.040e-03,3.73125,2.54789
-9.020e-03,3.46031,2.55117
-9.000e-03,3.14469,2.54695
-8.980e-03,2.86875,2.51102
-8.960e-03,2.575,2.3282
-8.940e-03,2.30563,2.08391
-8.920e-03,2.04906,1.84461
-8.900e-03,1.8025,1.61844
-8.880e-03,1.56719,1.41273
-8.860e-03,1.34281,1.20383
-8.840e-03,1.15781,1.00961
-8.820e-03,0.969062,0.832969
-8.800e-03,0.785,0.672031
-8.780e-03,0.600625,0.518984
-8.760e-03,0.46125,0.386016
-8.740e-03,0.3425,0.271953
-8.720e-03,0.224063,0.183047
-8.700e-03,0.149687,0.103984
-8.680e-03,0.0709375,0.0447656
-8.660e-03,0.01625,-0.00523438
-8.640e-03,-0.0128125,-0.0260938
-8.620e-03,0.0009375,-0.0347656
-8.600e-03,0.00875,-0.0219531
-8.580e-03,0.041875,0.00453125
-8.560e-03,0.0709375,0.054375
-8.540e-03,0.138437,0.124531
-8.520e-03,0.22375,0.201094
-8.500e-03,0.342187,0.291016
-8.480e-03,0.464375,0.412266
